Cd-106(n,g) ENDFB-8.0
Energy(eV) XS(b)
624.018 0.756467
624.174 0.778277
624.331 0.801049
624.409 0.812822
624.487 0.824841
624.565 0.837147
624.643 0.849715
624.782 0.872947
624.922 0.897150
625.062 0.922380
625.132 0.935407
625.202 0.948695
625.271 0.962290
625.341 0.976161
625.411 0.990356
625.481 1.00484
625.551 1.01968
625.621 1.03482
625.691 1.05033
625.760 1.06617
625.851 1.08723
625.941 1.10892
626.032 1.13127
626.122 1.15431
626.212 1.17807
626.303 1.20258
626.393 1.22787
626.483 1.25393
626.557 1.27592
626.631 1.29850
626.705 1.32169
626.779 1.34548
626.853 1.36995
626.927 1.39507
627.001 1.42092
627.075 1.44747
627.149 1.47481
627.223 1.50293
627.297 1.53188
627.371 1.56163
627.445 1.59231
627.519 1.62386
627.593 1.65641
627.667 1.68991
627.757 1.73230
627.848 1.77632
627.938 1.82205
628.028 1.86958
628.119 1.91901
628.209 1.97045
628.300 2.02399
628.390 2.07970
628.480 2.13783
628.571 2.19846
628.661 2.26171
628.752 2.32777
628.842 2.39678
628.932 2.46893
629.023 2.54442
629.113 2.62337
629.245 2.74513
629.376 2.87565
629.442 2.94452
629.508 3.01581
629.573 3.08975
629.639 3.16647
629.705 3.24623
629.770 3.32896
629.836 3.41506
629.902 3.50446
629.968 3.59759
630.033 3.69439
630.099 3.79521
630.165 3.90026
630.255 4.05220
630.346 4.21333
630.436 4.38441
630.526 4.56630
630.617 4.75993
630.707 4.96637
630.798 5.18678
630.888 5.42246
630.978 5.67490
631.069 5.94575
631.159 6.23688
631.250 6.55042
631.340 6.88878
631.430 7.25471
631.521 7.65138
631.611 8.08193
631.702 8.55152
631.747 8.80228
631.792 9.06459
631.837 9.33919
631.882 9.62688
631.928 9.92853
631.973 10.2451
632.018 10.5776
632.063 10.9272
632.108 11.2952
632.154 11.6828
632.199 12.0915
632.244 12.5230
632.289 12.9791
632.334 13.4618
632.380 13.9731
632.425 14.5155
632.470 15.0917
632.515 15.7045
632.560 16.3573
632.606 17.0535
632.651 17.7973
632.696 18.5911
632.741 19.4433
632.786 20.3577
632.831 21.3403
632.877 22.3975
632.922 23.5368
632.967 24.7660
633.012 26.0941
633.057 27.5271
633.111 29.3814
633.138 30.3749
633.164 31.4170
633.191 32.5104
633.218 33.6579
633.244 34.8623
633.271 36.1265
633.298 37.4586
633.325 38.8520
633.351 40.3146
633.378 41.8498
633.405 43.4610
633.431 45.1515
633.458 46.9250
633.485 48.7849
633.530 52.1403
633.575 55.7704
633.620 59.6917
633.666 63.9202
633.711 68.4705
633.756 73.3554
633.801 78.5858
633.846 84.1570
633.891 90.0986
633.937 96.3993
633.982 103.056
634.027 110.059
634.072 117.395
634.117 125.044
634.163 132.978
634.208 141.165
634.298 158.129
634.389 175.532
634.479 192.871
634.569 209.543
634.656 224.421
634.700 231.225
634.743 237.520
634.787 243.250
634.831 248.326
634.874 252.708
634.918 256.344
634.960 259.131
635.002 261.139
635.045 262.346
635.087 262.739
635.115 262.546
635.161 261.461
635.207 259.432
635.253 256.488
635.299 252.666
635.345 248.016
635.391 242.595
635.437 236.472
635.483 229.719
635.547 219.370
635.611 208.171
635.675 196.356
635.739 184.151
635.862 160.573
635.923 148.966
635.984 137.685
636.040 127.765
636.095 118.277
636.151 109.257
636.207 100.742
636.262 92.7561
636.318 85.3113
636.373 78.4082
636.429 72.0387
636.460 68.7553
636.490 65.6255
636.521 62.6454
636.551 59.8107
636.582 57.1167
636.613 54.5587
636.643 52.1317
636.674 49.8377
636.704 47.6566
636.735 45.5908
636.765 43.6349
636.796 41.7837
636.827 40.0322
636.857 38.3751
636.888 36.8076
636.918 35.3296
636.949 33.9268
636.980 32.5996
637.010 31.3438
637.041 30.1552
637.071 29.0299
637.102 27.9641
637.163 26.0004
637.224 24.2313
637.285 22.6370
637.347 21.1967
637.408 19.8944
637.469 18.7098
637.530 17.6312
637.591 16.6466
637.652 15.7466
637.714 14.9193
637.775 14.1580
637.836 13.4558
637.897 12.8076
637.958 12.2060
638.020 11.6473
638.081 11.1274
638.142 10.6435
638.203 10.1908
638.264 9.76788
638.325 9.37092
