72-Hf_n-g
> 72-Hf-174:0.001600
> 72-Hf-176:0.052600
> 72-Hf-177:0.186000
> 72-Hf-178:0.272800
> 72-Hf-179:0.136200
> 72-Hf-180:0.350800
8.851560e-01 2.90132448e+02
8.857420e-01 2.91530384e+02
8.898750e-01 3.02074222e+02
8.911130e-01 3.05263229e+02
8.945930e-01 3.14865738e+02
8.964840e-01 3.20123920e+02
8.971570e-01 3.22131679e+02
8.997200e-01 3.29820493e+02
9.018560e-01 3.36266564e+02
9.022830e-01 3.37651466e+02
9.048470e-01 3.46016394e+02
9.062500e-01 3.50623081e+02
9.072270e-01 3.53831021e+02
9.074100e-01 3.54477996e+02
9.099730e-01 3.63597046e+02
9.125370e-01 3.72781975e+02
9.125980e-01 3.73002124e+02
9.151000e-01 3.82733321e+02
9.179690e-01 3.93998688e+02
9.190560e-01 3.98609739e+02
9.230110e-01 4.15588339e+02
9.233400e-01 4.17019792e+02
9.269670e-01 4.34088276e+02
9.287110e-01 4.42380418e+02
9.289450e-01 4.43586547e+02
9.309230e-01 4.53852426e+02
9.329010e-01 4.64193785e+02
9.340820e-01 4.70416990e+02
9.348780e-01 4.74973308e+02
9.368560e-01 4.86381415e+02
9.375000e-01 4.90125960e+02
9.388340e-01 4.97882894e+02
9.394530e-01 5.01513509e+02
9.408120e-01 5.10187119e+02
9.427900e-01 5.22918232e+02
9.447670e-01 5.35758510e+02
9.448240e-01 5.36132223e+02
9.467450e-01 5.49554230e+02
9.475100e-01 5.54961765e+02
9.495780e-01 5.70237802e+02
9.501950e-01 5.74860154e+02
9.524110e-01 5.92205972e+02
9.528810e-01 5.95927187e+02
9.540750e-01 6.05814790e+02
9.555670e-01 6.18275800e+02
9.557390e-01 6.19779700e+02
9.574040e-01 6.34461591e+02
9.582520e-01 6.42005909e+02
9.590680e-01 6.49605582e+02
9.607320e-01 6.65240241e+02
9.609380e-01 6.67193363e+02
9.623960e-01 6.81647596e+02
9.633790e-01 6.91480429e+02
9.640600e-01 6.98591492e+02
9.657240e-01 7.16121245e+02
9.658200e-01 7.17141742e+02
9.673880e-01 7.34543499e+02
9.682620e-01 7.44328025e+02
9.687500e-01 7.50039567e+02
9.690530e-01 7.53585875e+02
9.707030e-01 7.73064868e+02
9.707170e-01 7.73237690e+02
9.723810e-01 7.93949253e+02
9.731450e-01 8.03537620e+02
9.740450e-01 8.15361596e+02
9.755860e-01 8.35766645e+02
9.757090e-01 8.37472732e+02
9.773730e-01 8.60724407e+02
9.780270e-01 8.69929347e+02
9.790370e-01 8.84823970e+02
9.804690e-01 9.06080433e+02
9.806890e-01 9.09507972e+02
9.823400e-01 9.35388601e+02
9.829100e-01 9.44374069e+02
9.839910e-01 9.62263052e+02
9.853520e-01 9.84896199e+02
9.856420e-01 9.89968060e+02
9.872940e-01 1.01897913e+03
9.877930e-01 1.02777459e+03
9.889450e-01 1.04914723e+03
9.902340e-01 1.07312811e+03
9.905960e-01 1.08022332e+03
9.922480e-01 1.11266189e+03
9.926760e-01 1.12107835e+03
9.951170e-01 1.17175309e+03
9.955700e-01 1.18168997e+03
9.975590e-01 1.22529283e+03
9.977850e-01 1.23053938e+03
1.000000e+00 1.28184504e+03
1.002740e+00 1.34901058e+03
1.004430e+00 1.39334840e+03
1.005480e+00 1.42063869e+03
1.006650e+00 1.45318137e+03
1.008230e+00 1.49678760e+03
1.008870e+00 1.51584474e+03
1.010970e+00 1.57786681e+03
1.011080e+00 1.58137098e+03
1.013300e+00 1.65141472e+03
1.013710e+00 1.66421667e+03
1.015520e+00 1.72531525e+03
1.016450e+00 1.75638145e+03
1.017730e+00 1.80273302e+03
1.019190e+00 1.85507052e+03
1.019630e+00 1.87218791e+03
1.021520e+00 1.94508163e+03
1.021930e+00 1.96075067e+03
1.023410e+00 2.02230729e+03
1.024670e+00 2.07426511e+03
1.025300e+00 2.10244131e+03
1.027420e+00 2.19634802e+03
